uεόν,renovatur,induo
ἐξηέͅσαν,perduco,mando
ἐξίστημι,stupeo,obstipesco
ἐξολεθρεύω,propheta,plebs
ἐξορκίζω,taceo,Christus
ἐξουθενέω,sperno,manduco
ἐξουσιάζω,potestas,mulier
ἐξουσιάν,potestas,dedo
ἐξυπνίζω,dormio,exsuscito
ἐπ̓,appono,lumen
ἐπάν,oculus,renuntio
ἐπαγγέλλω,promitto,repromitto
ἐπαγγελιᾴ,honorus,mandatus
ἐπαγγελιάν,promissio,repromissio
ἐπαείδω,servum,auricula
ἐπαίρω,oculus,levantes
ἐπαιτέω,mendicor,Hiericho
ἐπακροάομαι,laudo,Silas
ἐπαναμιμνήσκω,gratia,audax
ἐπανέρχομαι,redeo,dedo
ἐπαραρίσκω,elevatus,suscipio
ἐπαρχειάς,provincia,interrogo
ἐπαφρίζω,procella,despumo
ἐπέρχομαι,Spiritus,miseria
ἐπεισέρχομαι,laqueus,superveniet
ἐπενδύω,ingemescimus,nam
ἐπεί,alioqui,quaero
ἐπεσκιάζεν,nubis,intrantes
ἐπηρεάζω,oratum,calumniantibus
ἐπίβλημα,nemo,vestimento
ἐπίθεσις,impositio,manus
ἐπίλυσις,interpretatio,proprio
ἐπίσημος,insigno,Barabbas
ἐπίστρεψις,septies,conversus
ἐπιάσεν,apprehendo,necdum
ἐπιβαίνω,ascendo,invenissemus
ἐπιβλέπω,respicio,sedes
ἐπιγειών,terrestria,caelestis
ἐπιγράφω,duodecim,post
ἐπιδείκνυμι,ostendo,accedo
ἐπιδιατάσσομαι,superordino,confirmo
ἐπιέννυμι,cado,spina
ἐπιεικιάς,modestia,humilis
ἐπιθυμέω,desidero,concupisco
ἐπιθυμιά,concupisco,mundo
ἐπιθυμιάις,desiderium,carni
ἐπιθυμιάω,abstineo,advenas
ἐπικαλέω,cognomino,Caesarem
ἐπικέλομαι,invocatum,requiro
ἐπικραίνω,aqua,manus
ἐπιλανθάνομαι,obliuiscor,oblivisci
ἐπιλείχω,ulcus,saturo
ἐπιμαρτυρέω,contestor,gratia
ἐπιμελειάς,devenimus,ago
ἐπιόμεν,manducavimus,incipio
ἐπιπίπτω,cado,timor
ἐπιπόθητος,carus,ita
ἐπιρράπτω,veteri,aufero
ἐπισκέ,plenus,considerate
ἐπισκηνόω,infirmitas,virtus
ἐπισκοπή,desidero,episcopatus
ἐπιστάτης,praecepto,suscitaverunt
ἐπιστημόω,mansuetudo,disciplinatus
ἐπιστολή,epistula,scribo
ἐπιστροφή,pertranseo,igitur
ἐπισφαλής,iam,ieiunium
ἐπιτάσσω,impero,praecipio
ἐπιτέλλω,consummo,mundo
ἐπιτελέω,perficio,animus
ἐπιτιθεάσιν,umerus,inpono
ἐπιτιμιά,obiurgatio,eiusmodi
ἐπιτυγχάνω,consequor,adipiscor
ἐπιφανειᾴ,iniquus,adventus
ἐπιφαύω,dormio,Christus
ἐπιφωνέω,succlamo,acclamo
ἐπιχορηγέω,semen,ministro
ἐπλεόμεν,navis,Cypro
ἐποιήσα,numquid,peccatus
ἐποιήσέν,potens,universam
ἐποιόυν,propheta,pertranseo
ἐποπτευόντες,conversationem,considero
ἐπουράνιος,caelestis,terrenus
ἐπουρανιῴ,frequentia,viventis
ἐργάζομαι,opero,iustitia
ἐργασιάς,quaestus,eiusmodi
ἐρεύγομαι,parabola,eructo
ἐρημιᾴ,periculum,tantus
ἐρημόω,vae,desolo
ἐριθιά,pravum,inconstantia
ἐριθιάς,contentio,sincerus
ἐρύω2,eripio,eruo
ἐσθής,veste,introeo
ἐσθιέιν,manduco,coepi
ἐσθιήτε,manduco,panis
ἐσθιόντι,malus2,offendiculum
ἐσθιώσιν,manduco,panis
ἐστερεώσεν,fido,fidus
ἐτελειώσεν,introductio,proximo2
ἐφάπαξ,semel,deinde
ἐφήμερος,victu,cottidianus
ἐφοβή,parens2,fidus
ἐφορεύω,abeo,egredior
ἐφίστημι,viri,asto
ἐφφαθά,ingemo,eppheta
ἐχθρός,inimicus,pes
ἕβδομος,septimus,hora
ἕλιγμα,Nicodemus,fero
ἕλλη,gentilis,circumcido
ἕνεκα,perdo,anima
ἕτερος,allium,alter
ἑβδομήκοντα,septuaginta,duo
ἑδραιο͂ς,cor,benus
ἑκατόν,centum,quattuor
ἑκατονταετής,emortuus,consideravit
ἑκούσιος,voluntarie,sinis
ἑλίσσω,insula,idem
ἑλληνικός,nome,fero
ἑλπίδι,subicio,vanitati
ἑνότης,unitas,pax
ἑξακοσιών,lacus,extra
ἑπτάκις,septies,dimitto
ἑρμῆς,Patrobam,Hermam
ἑρμηνιά,allium,interpretatio
ἑρπετόν,serpo,quadrupedius
ἑσρών,Aminadab,Aram
ἑτεροδιδασκαλέω,aliter,doceo
ἑτοιμάζω,paro,pascha
εἄν,si,non
εἄσει,possum,tento
εἁυταῖς,prudens,sufficio
εἁυτῆς,contra,cogitatio
εἁυτούς,vosmet,comparo
εἁυτῶν,semper,diligo
εἴδαμέν,Iohannes,praecepto
εἴκοσι,viginti,quattuor
εἴπεν,quaero,cogito
εἴσοδος,introitus,ita
εἴτε,sive,vestra
εἶδος,species,abstineo
εἶτεν,deinde,spicum
εἰδυιᾶ,uxor,veritatem
εἰδωλολάτρης,idolum,fornicator
εἰδωλολατριάς,cultura,carus
εἰλικρινέω,sincero,offensum
εἰλικρινιάς,fermento,sinceritas
εἰρηνικός,fructus2,pacificus
εἰς,intro2,angustus
εἰσδέχομαι,tango,separo
εἰρηνέω,pax,gratia
εἰσεπορευέτο,tango,vel
εἰσιάσιν,compositum,sacrificus
εἰσπορεύω,nemo,pono
εἰστίθημι,iudico,duodecim
εἰσφέρω,infero,induco
εἱλκωμένος,ulcus,iaceo
ειἄσαν,funis,scaphe
ειὤθει,iterum,consueverat
εὄικεν,haesito,movetur
εὅρακεν,humilito,frustror
εὁρτήν,festus,ascendo
εορτης,mundo,diligo
επληρωθη,Romam,ibi
ετει,tetrarches,Caesaris
εὔθετος,sterquilinium,genero
εὔκοπος,facilis,foramen
εὔσχημος,honestum,utilitas
εὔφορος,iterum,plebs
εὖγε,fidelis,modicum
εὐδοκιάς,voluntate,pax
εὐδοκέω,placeo,complaceo
εὐθειᾶν,viam,Bosor
εὐθυμέω,animus,psallat
εὐλαβέομαι,iustitia,fidus
εὐλόγηκεν,adnumero,benedico
εὐθύς,statim,continuus
εὐλογημένοι,possideo,benedictus
εὐλογιά,saeculum,benedictio
εὐλογιάν,benedictio,quasi
εὐνίκη,primus,fides
εὐπειθής,pacificus,simulatio
εὐπορέω,prout,ministerium
εὐνοῦχος,eunuchus,capio
εὐπρόσδεκτος,acceptum,oblatio
εὐρύχωρος,intro2,angustus
εὐσεβειᾴ,pietas,fraternitas
εὐσεβής,pius,sobrius
εὐτονόω,revincebat,vehementer
εὐφορέω,divitis,affero
εὐφρόσυνος,iucunditas,vix
εὐχαριστία,actio,Domino
εὐχαριστιάν,actio,gratiae
εὐψυχέω,animus,spero
εὑρεθῆ,lapido,quasi
ευἄρεστοι,sive,contendo
ευἀγγέλιόν,evangelium,Christum
ευἀγγελίζεται,aliquando,evangelizaverit
ευἀγγελίζωμαι,evangelizavero,continuus
ευἀγγελίσασθαι,evangelizare,regulo
ευἀγγελίσωμαι,evangelizavero,incumbo
ευἀγγελιζόμενοι,ambulaverat,evangelizantes
ευἀγγελιζομένῳ,baptizo,muliero
ευἀγγελισαμένου,desidero,semper
ευἀγγελισθέντες,introeo,incredulitas
ευἀρέστους,subdo,contradico
ευἀρεστῆσαι,inquiro,sinis
ευἅν,corrumpo,Christo
ευἐργεσίας,fidelis,particeps
ευἠγγελίζετο,evangelizabat,pertranseo
ευἠγγελίσθη,evangelizatum,vivant
ευἠγγελισμένοι,etenim,quemadmodum
ευὀδοῦταί,prosperus,valere
ευὤνυμον,libellus,navis
ευὠνύμων,sinistra,dexter
εὥρακαν,inventus,taceo
εὥρακεν,vidit,diligo
εὡράκασιν,viderunt,nemo
εὡράκει,forma,desertum
εὡρακότες,festus,Galilaeam
ζακχαιε͂,festino,suspicio
ζαχαριά,deprecatio,Iohannem
ζαχαριόυ,sanguis,Zacchariae
ζεβεδαιο͂ν,mercenarius,relinquo
ζετο,at,affirmo
ζευκτηριάς,iungo,aufero
ζήτησις,devita,quaestiono
ζῆσις,manduco,vivet
ζηλωτής,aemulator,Iacobus
ζημιάς,navis,video
ζόφος,caligo,turbo
ζύμη,fermento,Pharisaeorum
ζώνη,zona,manus
ζωᾷ,animalis,quattuor
ζητέω,quaero,gloria
ζωοποίησις,suscitavit,Christum
ζωῴν,animalis,quattuor
ζωός,vitam,aeternus
ἤδειτε,cognovissetis,cognosco
ἤλθεν,Graeciam,perambulo
ἤρεμος,castitas,pietas
ἦτε,sitis,sinis
ἠγαλλιάσεν,salutaris,exultavit
ἠδυνατο,Herodias,insidior
ἠλεήσέν,misertus,adnuntio
ἠξιώσα,venirem,arbitror
ἠσαΐας,propheta,Esaias
ἠχώ,fluctus,prae
ἠμί,autem,ille
ἥττημα,magus,quare
ἡγεμονευόντος,Cyrino,descriptio
ἡγιάσεν,blasphemus,sanctificavit
ἡδονή,vestris,concupiscentia
ἡλεί,puto,Ioseph
ἡλικιᾴ,proficio,gratia
ἡλιόυ,sol,claritas
ἡμέτερος,scriptum,audivimus
ἡμιθανής,Hiericho,incido2
ἥμερος,dies,ille
ἡρῳδιάδος,placeo,Herodi
ἡσαῦς,Esau,Iacob
ἡρῴδης,Herodes,Herodis
ἡσυχάω,castitas,pietas
ἡσυχιάς,silentium,eiusmodi
ηγγιζεν,festus,appropinquo
θάλπω,odeum,fovet
θάνατος,mors,peccatus
θάρσος,confido,paralyticus
θαμβέω,immundus,exivit
θανατάω,trado,mortifico
θαρά,Thare,Nachor
θαυμαστός,mirabile,oculus
θαυμάζω,miror,videntes
θέρμα,inpono,aliquantus
θεά,reputo,venire
θεατρίζω,alter,effectum
θειόυ,saeculum,nox
θειώδης,caput,equus
θεμελιόυς,duodecim,fundamentum
θεόπνευστος,inspiro,arguo
θεόφιλος,Theophile,optume
θεον,confirmo,exhortor
θεοστυγής,inventores,detractor
θεραπειάς,dispensator,excipio
θεραπευέιν,curo,convocatis
θεραπευέται,inspiratio,indigeo
θεραπευών,infirmitas,praedico
θεριστός,messis,messor
θεσσαλονικεών,Thessalonicensium,Timotheus
θεω,ignotum,ignoro
θεωρίς,quot,at
θήρη,laqueus,retributio
θηλειάς,masculus,invicem
θηριόν,bestia,ascendo
θηριῴ,bestia,adoraverunt
θησαυρίζω,thesaurizo,ubius
θλίβω,tribulatio,patior
θόρυβος,tumultus,populus2
θραύω,evangelizare,pauper
θρησκειά,immaculatus,religio
θρησκός,vana,refreno
θριαμβευόντι,Christo,semper
θροέω,nondum,bellum
θύρα,ostium,ianua
θύω2,occido,manduco
θυατείρων,mulier,audivit
θυέιν,Antiochia,Iconio
θυμίαμα,incensum,oratio
θυμός,ira,septem
θυόυσιν,daemonium,immolo
θυρόω,ianua,sto
θυσιά,voluntarie,relinquo
θυσιάις,hostius,caelestis
θυσιαστήριος,alto,offero
θῴρακας,caput,equus
ἴασος,Iason,saluto
ἴσος,aequalis,testimonium
ἶρις,irus,simila
ἰάρετ,Iared,Mathusalae
ἰαμβρῆς,resto,resisto
ἰατρός,medicus,Capharnaum
ἰδιᾴ,unusquisque,nam
ἰδιάς,proprio,primus
ἰδιόυ,potestas,mulier
ἰδιών,offero,requies
ἰεζάβελ,muliero,manduco
ἰεσσαί,gigno,Iesse
ἰεχονίας,Salathihel,gigno
ἰκόνιον,Lystris,Iconii
ἰξαάκ,semen,Isaac
ἰούδας,Iudas,Iuda
ἰουδαίζω,veritatem,quomodo
ἰουδαικός,iudaicus,aversantium
ἰσάγγελος,resurrectio,possum
ἰσκαριώτην,Scarioth,Iudam
ἰσότης,abundantia,inopia
ἰσόω,novissimi,verebuntur
ἰσσαχάρ,milium,duodecim
ἰσχυέι,valet,sal
ἰσχυί̈,exsecrabilis,maiores
ἰσχυός,totus2,virtutis
ἰσχυώ,conforto,aufero
ἰτουραία,tetrarches,Caesaris
ἰχθυάς,panis,piscis
ἰχθυών,piscis,rete
ἰώδας,Semei,Iosech
ἰωαθάμ,gigno,Ioatham
ἰωβήλ,Naasson,Salmon
ἰωνᾶ,signum,generatio
ἰωρείμ,Iorim,Matthat
ἰωσείας,Iosias,Iechoniam
ἰωσῆτος,Maria,Ioseph
ἵππος,equus,sedeo
ἱδρώς,decurro,gutta
ἱεροσόλυμα,Hierosolymis,Hierosolymam
ἱκανότης,sufficientia,simus
ἱλάσκομαι,misericors,pontifex
ἱλασμός,peccatum,diligo
ἱμάτιον,vestimenta,tunica
ἱματιόυ,tango,vestimentum
ἱματιών,tango,indumentum
ἱππεύς,ducenti,eques
ἱστήκει,sto,monumentum
ιἄθη,sano,mulier
ιἄσεις,eicio,cras
ιἄσιν,sanctum,extendo
ιἄσπις,murus,iaspis
ιἆταί,surgo,Aeneas
ιἀθήσεται,verbo,Domine
ιἀθῆναι,curo,venerunt
ιἀτρός,Lucas,Demas
ιακωβος,dispersio,duodecim
ιἑρατεύειν,fungor,sacerdotium
ιἑρέα,sacerdos,ordino
ιἑρεῖς,sacerdos,sinis
ιἑρόθυτόν,immolaticius,idolum
ιἑροσύλους,sacrilegus,dea
ιἑρουργοῦντα,sanctifico,oblatio
ιἑρωσύνης,ordino,sacerdos
ιὄς,pateo,venenum
ιουδαιων,Iudaeorum,rex
ιὤμεν͂ος,benefacio,quomodo
κάλαμος,harundo,pono
κάμηλος,camelus,facilis
κάμπτω,genu,curvaverunt
κάρφος,oculo,eicio
καθά,membro,scriptum
καθαιρέω,depono,monumentum
καθαρός,mundus2,mundo
κάθημαι,sedeo,thronus
καθέζομαι,sedeo,facies
καθήκω,probaverunt,reprobus
καθιστάνω,perduco,mando
καθότι,prout,statuo
καθίζω,sedeo,dexter
καίπερ,quisquis,carnis
καίω,ardeo,ignis
καιάφαν,Caiaphan,Annas
καινάμ,Cainan,Sem
καινός,novum,nova
καθώς,sicut,ego
καιρός,tempus,salus
καισαριάν,Caesaream,descendo
κακιά,sollicitus,crastinus
κακιάς,malitia,ita
κακοηθιάς,malignitas,repletos
κακοπαθέω,vincula,opero
κακοποιέω,an,malus2
κακουχέω,tamquam,angustio
καλέω,vocavit,vocatur
καλοδιδάσκαλος,anus,criminatrix
καλύπτω,operio,peccatum
καναναιο͂ς,Cananeus,Scariotes
καπηλευόντες,Christo,verbum
καππαδοκιάς,Bithyniae,advenis
καρδιᾴ,cor,oculus
καρδιάν,cur,oculus
καρπέω,fructus2,arbor
καρποφόροι,vix,immolo
κατάδηλος,Melchisedech,manifesta
κατάκριμα,iustificatio,condemnatio
κατάλειψις,uxor,mater
κατάνυξις,auris,hodiernus
κατάρτισις,confirmo,infirmus
κατάσχεσις,possessio,patior
καταβαίνω,descendo,descendens
καταβολή,mundus2,constitutio
καταγγελεύς,resurrectio,vult
καταγράφω,inclino,tento
καταδίκη,damnatio,adeo
καταδυναστεύω,benefacio,quomodo
καταίρω,maledictum,maledictio
κατακαιέται,conburuntur,colligo
κατακλάω2,duo,panis
κατακλίνω,discumbo,invitatus
κατακόπτω,semper,monumentum
κατακρίνω,condemno,surgo
κατακυριευόντες,clerus,animus
καταλαλέω,detraho,iudico
καταλέγω,uxor,annus
καταλίπτομαι,regium,ibi
καταλλαγή,reconciliatio,Christum
καταλυών,destruo,templum
καταμένω,maneo,Iacobus
κατανεύω,navi,impleverunt
κατανύσσομαι,conpungo,apostolus
καταπαύω,septimus,requievit
κατά,secundum,edo
καταπίπτω,Saule,cado
καταποντίζω,validum,mergus
καταριθμέω,connumero,sors
κατασείω,silentium,manus
κατασκήνωσις,ubius,caput
κατασκιάζω,propitiatorium,cherubin
καταστέλλω,sedo,temere
καταστρηνιάω,devita,adulescentiores
κατασφάζω,inimicus,verumtamen
κατατίθημι,praesto2,gratia
καταφέρω,somnus,adulescens
καταφιλέω,osculo,pedes
καταφρονητής,videte,opero
καταχράω,utor,evangelium
κατέναντι,contra,pullum
κατείδωλος,Athenis,exspecto
κατέχω,teneo,detineo
κατελθοντες,mos,circumcido
κατενώπιον,immaculatus,ante
κατεσθίω,semino,comederunt
κατεσθιόυσιν,devorant,viduarum
